CMDLINE /home/lf/miniconda3/envs/maddpg/bin/python rdqn_train.py
MEM 925.214844 1721469309.3832
MEM 925.214844 1721469309.4834
MEM 925.214844 1721469309.5836
MEM 925.371094 1721469309.6838
MEM 925.371094 1721469309.7839
MEM 925.683594 1721469309.8841
MEM 925.839844 1721469309.9843
MEM 925.839844 1721469310.0844
MEM 925.996094 1721469310.1846
MEM 926.464844 1721469310.2848
MEM 926.777344 1721469310.3850
MEM 926.777344 1721469310.4852
MEM 927.089844 1721469310.5853
MEM 927.246094 1721469310.6855
MEM 927.714844 1721469310.7857
MEM 927.871094 1721469310.8859
MEM 928.339844 1721469310.9861
MEM 928.808594 1721469311.0862
MEM 929.902344 1721469311.1864
MEM 929.902344 1721469311.2865
MEM 930.214844 1721469311.3867
MEM 930.214844 1721469311.4869
MEM 930.371094 1721469311.5870
MEM 930.839844 1721469311.6872
MEM 930.839844 1721469311.7874
MEM 930.839844 1721469311.8876
MEM 930.839844 1721469311.9877
MEM 930.839844 1721469312.0879
MEM 930.996094 1721469312.1881
MEM 930.996094 1721469312.2883
MEM 931.464844 1721469312.3885
MEM 931.777344 1721469312.4886
MEM 932.089844 1721469312.5888
MEM 932.558594 1721469312.6890
MEM 932.558594 1721469312.7892
MEM 932.558594 1721469312.8893
MEM 932.871094 1721469312.9895
MEM 932.871094 1721469313.0897
MEM 933.183594 1721469313.1899
MEM 933.652344 1721469313.2901
MEM 933.964844 1721469313.3903
MEM 933.964844 1721469313.4904
MEM 933.964844 1721469313.5906
MEM 933.964844 1721469313.6908
MEM 933.964844 1721469313.7910
MEM 934.277344 1721469313.8912
MEM 934.589844 1721469313.9914
MEM 934.589844 1721469314.0915
MEM 934.902344 1721469314.1917
MEM 934.902344 1721469314.2919
MEM 935.214844 1721469314.3921
MEM 935.839844 1721469314.4923
MEM 935.839844 1721469314.5925
MEM 935.839844 1721469314.6927
MEM 935.839844 1721469314.7929
MEM 935.839844 1721469314.8931
MEM 935.839844 1721469314.9933
MEM 935.839844 1721469315.0935
MEM 935.996094 1721469315.1937
MEM 936.308594 1721469315.2939
MEM 936.308594 1721469315.3941
MEM 936.308594 1721469315.4943
MEM 936.308594 1721469315.5944
MEM 936.308594 1721469315.6946
MEM 936.308594 1721469315.7948
MEM 936.308594 1721469315.8950
MEM 936.777344 1721469315.9952
MEM 936.777344 1721469316.0954
MEM 937.558594 1721469316.1956
MEM 938.027344 1721469316.2958
MEM 938.027344 1721469316.3960
MEM 938.027344 1721469316.4962
MEM 938.027344 1721469316.5964
MEM 938.027344 1721469316.6966
MEM 938.027344 1721469316.7967
MEM 938.652344 1721469316.8969
MEM 938.808594 1721469316.9971
MEM 939.121094 1721469317.0973
MEM 939.121094 1721469317.1975
MEM 939.121094 1721469317.2977
MEM 939.589844 1721469317.3980
MEM 939.589844 1721469317.4981
MEM 939.589844 1721469317.5983
MEM 940.839844 1721469317.6985
MEM 940.839844 1721469317.7987
MEM 940.996094 1721469317.8989
MEM 941.933594 1721469317.9991
MEM 941.933594 1721469318.0992
MEM 941.933594 1721469318.1994
MEM 941.933594 1721469318.2996
MEM 942.246094 1721469318.3998
MEM 942.714844 1721469318.5001
MEM 943.183594 1721469318.6003
MEM 943.183594 1721469318.7005
MEM 943.183594 1721469318.8008
MEM 943.183594 1721469318.9010
MEM 943.339844 1721469319.0012
MEM 943.652344 1721469319.1015
MEM 943.964844 1721469319.2017
MEM 944.589844 1721469319.3019
MEM 944.589844 1721469319.4021
MEM 944.902344 1721469319.5023
MEM 944.902344 1721469319.6025
MEM 945.058594 1721469319.7027
MEM 945.214844 1721469319.8029
MEM 945.214844 1721469319.9031
MEM 945.527344 1721469320.0033
MEM 945.839844 1721469320.1034
MEM 945.996094 1721469320.2036
MEM 945.996094 1721469320.3038
MEM 946.308594 1721469320.4040
MEM 946.621094 1721469320.5042
MEM 947.089844 1721469320.6045
MEM 947.558594 1721469320.7047
MEM 947.558594 1721469320.8050
MEM 947.558594 1721469320.9052
MEM 947.558594 1721469321.0055
MEM 948.027344 1721469321.1057
MEM 948.027344 1721469321.2059
MEM 948.183594 1721469321.3062
MEM 948.652344 1721469321.4065
MEM 948.808594 1721469321.5067
MEM 948.808594 1721469321.6069
MEM 949.277344 1721469321.7072
MEM 949.277344 1721469321.8075
MEM 949.589844 1721469321.9077
MEM 949.746094 1721469322.0079
MEM 949.746094 1721469322.1082
MEM 949.902344 1721469322.2084
MEM 950.371094 1721469322.3087
MEM 950.683594 1721469322.4089
MEM 950.683594 1721469322.5092
MEM 950.996094 1721469322.6094
MEM 951.933594 1721469322.7096
MEM 952.558594 1721469322.8099
MEM 952.558594 1721469322.9102
MEM 953.027344 1721469323.0104
MEM 953.027344 1721469323.1107
MEM 953.027344 1721469323.2109
MEM 953.339844 1721469323.3111
MEM 953.808594 1721469323.4114
MEM 953.808594 1721469323.5116
MEM 953.808594 1721469323.6119
MEM 953.964844 1721469323.7121
MEM 953.964844 1721469323.8124
MEM 954.433594 1721469323.9126
MEM 954.746094 1721469324.0128
MEM 955.214844 1721469324.1131
MEM 955.214844 1721469324.2133
MEM 956.152344 1721469324.3136
MEM 956.308594 1721469324.4138
MEM 956.464844 1721469324.5139
MEM 956.464844 1721469324.6142
MEM 956.464844 1721469324.7144
MEM 956.464844 1721469324.8146
MEM 956.464844 1721469324.9148
MEM 956.464844 1721469325.0150
MEM 956.464844 1721469325.1152
MEM 956.464844 1721469325.2154
MEM 957.089844 1721469325.3156
MEM 957.402344 1721469325.4158
MEM 957.402344 1721469325.5160
MEM 957.558594 1721469325.6162
MEM 958.183594 1721469325.7164
MEM 958.183594 1721469325.8166
MEM 958.183594 1721469325.9168
MEM 958.183594 1721469326.0170
MEM 958.183594 1721469326.1171
MEM 958.496094 1721469326.2173
MEM 958.808594 1721469326.3175
MEM 958.808594 1721469326.4177
MEM 958.964844 1721469326.5179
MEM 959.433594 1721469326.6181
MEM 959.746094 1721469326.7183
MEM 960.527344 1721469326.8185
MEM 960.527344 1721469326.9187
MEM 960.527344 1721469327.0188
MEM 960.996094 1721469327.1190
MEM 961.308594 1721469327.2192
MEM 961.308594 1721469327.3194
MEM 961.621094 1721469327.4196
MEM 961.777344 1721469327.5198
MEM 961.933594 1721469327.6200
MEM 961.933594 1721469327.7202
MEM 962.246094 1721469327.8203
MEM 963.027344 1721469327.9205
MEM 963.027344 1721469328.0207
MEM 963.027344 1721469328.1209
MEM 963.183594 1721469328.2210
MEM 963.183594 1721469328.3212
MEM 963.496094 1721469328.4214
MEM 963.964844 1721469328.5216
MEM 964.433594 1721469328.6217
MEM 964.589844 1721469328.7219
MEM 964.589844 1721469328.8221
MEM 964.746094 1721469328.9222
MEM 965.058594 1721469329.0224
MEM 965.058594 1721469329.1226
MEM 965.371094 1721469329.2228
MEM 965.527344 1721469329.3230
MEM 965.839844 1721469329.4232
MEM 965.996094 1721469329.5234
MEM 966.308594 1721469329.6236
MEM 966.621094 1721469329.7238
